0,1,2,3,4
12578,9557,9557,8831,9068
49191,17529,17529,16786,23742
54759,38175,38175,36949,39627
45715,30541,30541,25426,23901
61262,32046,32046,30180,37397
34630,26760,26760,26843,27516
45526,25708,25708,23492,24740
49326,31331,31331,29630,23559
40395,31026,31026,30625,32719
42126,32452,32452,32025,29487
13098,8041,8041,6743,7045
13377,11301,11301,10838,9645
18149,13826,13826,8539,8978
15913,7740,7740,6761,8520
64078,28924,28924,26492,26980
53948,35781,35781,36408,33242
39545,22030,22030,22322,23539
36542,29216,29216,26087,24243
42243,37392,37392,33457,30175
58052,42178,42178,42253,45202
13074,7981,7981,7448,7477
34610,19162,19162,17643,18718
49126,36125,36125,34066,33083
39034,34423,34423,33384,30581
28452,16851,16851,15450,16461
33880,29340,29340,28655,28488
31509,21795,21795,20772,20282
46502,28780,28780,29030,28042
74485,51882,51882,52480,53461
15201,9616,9616,9086,8852
56326,34508,34508,35663,39207
33880,29340,29340,28655,28488
58203,52329,52329,51973,53677
41563,21269,21269,22742,27471
20004,11849,11849,11559,12258
62687,28646,28646,26829,26718
34374,17058,17058,15694,13990
30192,19164,19164,17289,15594
55709,36507,36507,32591,32059
30817,18123,18123,17395,20528
64156,49616,49616,45245,46105
46575,27816,27816,25061,25690
55709,36507,36507,32591,32059
64848,41798,41798,43339,38415
29811,23859,23859,22222,19444
20258,15833,15833,12953,12618
20919,16186,16186,14733,12820
67660,33528,33528,31719,28947
67282,50070,50070,44494,40064
96950,67194,67194,85266,72045
33320,20077,20077,16969,17613
47168,30061,30061,30013,32480
14980,10310,10310,9402,9066
94722,54826,54826,54405,67719
27528,14737,14737,13887,13223
10070,7816,7816,7671,7110
64893,37375,37375,30813,40460
56674,36514,36514,33830,33162
13634,9078,9078,8634,7945
38441,24777,24777,18815,18927
49125,22447,22447,23805,24438
25118,13202,13202,12644,14141
52463,43552,43552,35789,30515
55095,30689,30689,28772,28647
35156,23852,23852,23850,23973
16000,13722,13722,10842,10648
19044,12017,12017,9754,9084
14602,9919,9919,9197,8424
10031,7013,7013,6622,6799
86469,34154,34154,30776,31012
26860,13946,13946,14271,15954
19832,9637,9637,9230,8057
63036,39643,39643,36219,31362
12246,11558,11558,11635,11872
16681,14543,14543,7959,6161
21184,8873,8873,8333,9370
20700,10624,10624,9207,9115
53141,45458,45458,40668,31550
29310,15248,15248,15074,19029
27344,20729,20729,17178,20955
